"","measured","predicted","sd"
"1",-19.8,-25.1525818878108,4.6065538049439
"2",-30.61,-24.8005838585712,3.20422615252891
"3",-14.09,0.668830725995547,5.76302569439733
"4",-15.2,-20.8353319390023,4.81058347598533
"5",-28.29,-24.9359241740655,3.91407967667638
"6",-21.35,-21.1438201241786,4.45084165262391
"7",-24.24,-26.2157495292946,3.32408635094388
"8",-23.53,-24.0045304004563,1.84036155812897
"9",-21.24,-25.1883185054732,1.84759265361425
"10",-17.76,-12.4414613811735,4.3472542560486
"11",-19.17,-14.6790274243344,3.22855955425402
"12",-18.96,-16.9196970092999,3.60324822936675
"13",-16.16,-25.0971286151237,2.66828896298702
"14",-21.08,-24.0428625118469,2.50711769212333
"15",-21.16,-19.9428505644381,4.09396746905003
"16",-12.55,-17.9818389629129,4.14735090302599
"17",-34.11,-24.1429469184611,2.4685938152574
"18",-28.12,-29.0194869520337,2.72584062550806
"19",-28.12,-27.8476599228543,4.54983066986174
"20",-15.89,-19.4293692867934,4.68720995476217
"21",-27.8,-28.6342424874812,3.7899634843131
"22",-27.86,-27.1126815374408,4.31119198952924
"23",-17.25,-17.95151815548,4.61988987262665
"24",-27.06,-27.4912216624311,4.06052953415338
"25",-27.53,-27.9136661495612,3.0310566193751
"26",-21.37,-22.5610015812924,3.88001568141432
"27",-16.85,-16.3894656840677,3.90858162016432
"28",-14.73,-12.684547618433,4.06454388666069
"29",-9.17,-8.87242640223345,4.60280482313556
"30",-31.84,-31.4197644188995,4.10419264001156
"31",-26.11,-24.9486454041384,4.24295519919961
"32",-21.2,-18.6836512084489,4.28233185899122
"33",-32.9,-31.3792586317054,4.01325551800344
"34",-22.54,-24.8042579172913,4.24592764693952
"35",-15.67,-20.5984190236334,4.27914111263093
"36",-24.69,-26.9277351897418,4.21647304755348
"37",-21.81,-20.7529752545912,4.15537845735797
"38",-17.34,-17.1881925190081,4.1767490444245
"39",-20.09,-25.311270658295,5.04454381557519
"40",-28.12,-29.5068986908416,3.67352740539971
"41",-23.33,-23.0704288422964,4.56168509815443
"42",-15.8,-27.952739319196,6.12030622321177
"43",-3.32,-9.47311626028239,3.73483635935131
"44",-3.02,-6.08024167110783,2.72641770395564
"45",-3.3,-8.34074180679013,2.9572063107105
