"","measured","predicted","sd"
"1",-19.8,-26.4637611264566,5.49934083368212
"2",-30.61,-25.0778764730755,4.18804426406478
"3",-14.09,0.382722931314035,6.22304469482242
"4",-15.2,-20.7936969250616,5.35741837408508
"5",-28.29,-25.1346688849051,4.64934314253756
"6",-21.35,-21.6860210870356,5.13506750153484
"7",-24.24,-27.3167317995018,5.44986541340695
"8",-23.53,-21.6799999083678,1.13877300276233
"9",-21.24,-23.6577789816945,1.13623102523642
"10",-17.76,-9.34174274654684,5.57789045754636
"11",-19.17,-13.6822530409016,4.03892373741747
"12",-18.96,-17.0561570971606,4.43409997008431
"13",-16.16,-28.9934122866787,5.37138580648723
"14",-21.08,-28.62400215589,5.43928933051588
"15",-21.16,-20.4327762627511,5.00867146862341
"16",-12.55,-19.3372973379242,5.45398353599849
"17",-34.11,-24.76316456053,3.32180866335417
"18",-28.12,-27.8543956124675,5.45975451062089
"19",-28.12,-27.5238433157968,5.17581606415793
"20",-15.89,-18.8080666086912,5.22116632835731
"21",-27.8,-28.6210983554621,4.57872666538701
"22",-27.86,-27.1292963226138,5.45181694945226
"23",-17.25,-17.9892122950928,5.45763943288111
"24",-27.06,-27.2428832492645,5.45587261578383
"25",-27.53,-27.5816856487534,5.4601696198571
"26",-21.37,-22.8498506707606,4.89682472896796
"27",-16.85,-16.754841639723,4.92741506607727
"28",-14.73,-12.8136668046705,4.9836219623228
"29",-9.17,-8.9230127243736,5.29066342719714
"30",-31.84,-29.5880661444306,5.46897118042355
"31",-26.11,-24.7483861721025,5.05685049033061
"32",-21.2,-19.1940894216396,5.08852810352618
"33",-32.9,-30.8919603967674,4.92618464849806
"34",-22.54,-24.9631800606202,5.01991432603838
"35",-15.67,-20.9444697766921,5.05915649202689
"36",-24.69,-26.7812300356196,5.12488451458458
"37",-21.81,-20.8347280624155,5.05516760531774
"38",-17.34,-16.8479221318385,5.06027279736783
"39",-20.09,-25.4998917480616,5.62789977273994
"40",-28.12,-29.1541848156701,4.59899844872812
"41",-23.33,-22.9574981895722,5.14772161526426
"42",-15.8,-27.4329995558714,6.56418998363291
"43",-3.32,-18.8146551849037,5.33937640882011
"44",-3.02,-18.7995974151444,5.31888190052516
"45",-3.3,-18.8793412931742,5.31682821349341
"46",-9.86,-19.6657700064062,2.85887010596876
"47",-10.21,-15.1714744119478,5.62685751633697
"48",-9.7,-11.662119313078,4.99805212676999
"49",-8.79,-10.3083834834196,5.58582589105772
"50",-5.15,-9.12407713671246,5.39531292149285
"51",-10.07,-8.02715013549876,5.50343108537796
"52",-16.63,-9.34413588015188,5.56351505015057
